"sta6a","report_month","documented","not_documented","total"
"6559AA",2018-04-01,1,5,6
"6559AA",2018-05-01,1,4,5
"6559AA",2018-06-01,0,4,4
"6559AA",2018-07-01,8,1,9
"6669AA",2018-02-01,0,3,3
"6669AA",2018-03-01,0,1,1
"6669AA",2018-04-01,0,3,3
"6669AA",2018-05-01,0,2,2
"6669AA",2018-06-01,0,1,1
"6669AA",2018-07-01,0,3,3
"6939AA",2018-02-01,6,0,6
"6939AA",2018-03-01,6,0,6
"6939AA",2018-04-01,8,0,8
"6939AA",2018-05-01,8,0,8
"6939AA",2018-06-01,5,0,5
"6939AA",2018-07-01,10,0,10
